prompt,fold,routed_model,actual_quality,actual_cost
Write a function to find the shared elements from the given two lists.,0,claude-instant-v1,1.0,0.0004815265882352941
Write a python function to remove the characters which have odd index values of a given string.,0,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a function that takes in a list and an integer n and returns a list containing the n largest items from the list.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function that takes in a list of tuples and returns a dictionary mapping each unique tuple to the number of times it occurs in the list.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to remove characters from the first string which are present in the second string.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to find the next perfect square greater than a given number.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find the intersection of two arrays.,0,claude-v1,1.0,0.0042774399999999995
Write a python function to convert complex numbers to polar coordinates.,0,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a function to maximize the given two tuples.,0,gpt-4-1106-preview,0.0,0.00937664705882353
"Write a function that takes in a list and an integer L and splits the given list into two parts where the length of the first part of the list is L, and returns the resulting lists in a tuple.",0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to check if the given number is woodball or not.,0,claude-v1,0.0,0.0042774399999999995
Write a function that takes in the radius and height of a cylinder and returns the the volume.,0,mistralai/mistral-7b-chat,1.0,4.8506352941176474e-05
Write a function that takes in a dictionary and integer n and filters the dictionary to only include entries with values greater than or equal to n.,0,claude-instant-v1,1.0,0.0004815265882352941
Write a python function to check if a given number is one less than twice its reverse.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,0,claude-v2,0.0,0.005838738823529412
Write a function to find the third side of a right angled triangle.,0,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find the maximum value in a given heterogeneous list.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a python function to count inversions in an array.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to flatten a given nested list structure.,0,claude-v1,1.0,0.0042774399999999995
Write a function to calculate the maximum aggregate from the list of tuples.,0,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,0,claude-v2,1.0,0.005838738823529412
Write a python function to check whether the given two integers have opposite sign or not.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to return two words from a list of words starting with letter 'p'.,0,claude-v2,0.0,0.005838738823529412
Write a function to find the nth octagonal number.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a function to apply a given format string to all of the elements in a list.,0,claude-instant-v1,1.0,0.0004815265882352941
Write a function to convert more than one list to nested dictionary.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to extract the number of unique tuples in the given list.,0,claude-instant-v1,0.0,0.0004815265882352941
Write a python function to find smallest number in a list.,0,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a python function to remove odd numbers from a given list.,0,mistralai/mixtral-8x7b-chat,0.0,0.00017431835294117644
Write a function to find the maximum difference between available pairs in the given tuple list.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to find the average of cubes of first n natural numbers.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a python function to return the negative numbers in a list.,0,zero-one-ai/Yi-34B-Chat,1.0,0.00022846870588235293
Write a function to remove odd characters in a string.,0,gpt-4-1106-preview,0.0,0.00937664705882353
Write a function to find the surface area of a cube of a given size.,0,mistralai/mixtral-8x7b-chat,1.0,0.00017431835294117644
Write a python function to find the largest negative number from the given list.,0,gpt-3.5-turbo-1106,0.0,0.0003346564705882353
Write a function to calculate the sum of perrin numbers.,0,gpt-4-1106-preview,1.0,0.00937664705882353
Write a function to extract specified size of strings from a given list of string values.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to count the number of positive numbers in a list.,0,claude-v1,0.0,0.0042774399999999995
Write a python function to get the first element of each sublist.,0,claude-instant-v1,1.0,0.0004815265882352941
Write a function to find the pairwise addition of the neighboring elements of the given tuple.,0,gpt-3.5-turbo-1106,1.0,0.0003346564705882353
Write a python function to check whether the given list contains consecutive numbers or not.,0,claude-instant-v1,1.0,0.0004815265882352941
